Team_Size,Estimated_Timeline_Months,Complexity_Score,Stakeholder_Count,Team_Experience_Level,External_Dependencies_Count,Change_Request_Frequency,Project_Phase,Vendor_Reliability_Score,Communication_Frequency,Regulatory_Compliance_Level,Technology_Familiarity,Schedule_Pressure,Resource_Availability,Integration_Complexity,Project_Budget_USD
32,32,9.7,16,Senior,3,1.05,Planning,0.84,1.9,Medium,Expert,0.0,0.98,2.66,1526276.55
2,9,2.72,9,Mixed,2,2.61,Execution,0.79,2.65,High,Familiar,0.0,0.95,2.45,390790.15
2,6,2.04,7,Mixed,0,0.83,Initiation,0.89,1.87,Medium,Familiar,0.0,0.79,5.57,246674.76
12,17,7.54,16,Mixed,5,2.42,Initiation,0.84,1.36,Low,Familiar,0.1,0.52,7.49,1427830.63
24,24,6.68,17,Junior,2,0.16,Execution,0.86,1.02,Critical,Expert,0.0,0.58,1.64,1696746.64
13,18,7.11,12,Mixed,5,0.68,Initiation,0.83,4.47,Medium,Familiar,0.0,0.33,1.41,1106456.85
12,21,10.0,11,Senior,5,2.76,Closure,0.78,4.26,Critical,Familiar,0.16,0.56,3.14,1122048.59
9,15,4.53,9,Mixed,4,0.28,Closure,0.84,6.67,High,New,0.0,0.84,7.67,1208078.86
37,35,9.49,13,Mixed,4,3.61,Execution,0.43,1.25,Medium,Familiar,0.0,0.99,8.29,1833354.63
41,28,5.09,18,Senior,2,0.83,Closure,0.92,2.57,High,Expert,0.0,0.58,8.05,2404494.18
9,7,3.64,8,Mixed,3,1.35,Initiation,0.59,3.56,Critical,New,0.23,0.4,1.56,602745.38
15,10,3.54,11,Mixed,3,0.91,Execution,0.64,5.33,Medium,New,0.0,0.89,5.29,920898.01
15,18,8.59,9,Expert,6,1.13,Execution,0.61,0.46,Low,Familiar,0.16,0.68,3.06,1161853.69
14,16,8.39,7,Senior,3,0.61,Monitoring,0.48,2.41,Low,Familiar,0.24,0.6,6.46,880447.31
11,14,4.27,8,Expert,2,0.3,Initiation,0.91,3.83,High,Familiar,0.0,0.41,6.04,877904.48
17,13,3.7,13,Junior,0,0.25,Closure,0.71,0.85,Critical,New,0.0,0.64,8.82,950825.03
14,21,10.0,11,Junior,5,2.63,Monitoring,0.96,2.2,Low,Familiar,0.16,0.81,1.68,805495.26
5,11,5.17,8,Mixed,4,2.87,Planning,0.9,6.85,High,Familiar,0.15,0.6,5.68,783474.83
